Variable,normality,mean,median,sd,iqr
Altura_cm,parametric,158.95,163,19.13819914899693,21.25
CVFpercprevist,parametric,65.05437500000001,53.255,25.381572835096986,42.54999999999999
DNA_corrigido15x,parametric,305.345625,334,167.0524102577292,252.88
Dias_ATB,parametric,53.285714285714285,49,30.274204738150804,43
Dias_internacao,non-parametric,10.25,0,14.396758894510482,15.75
IMC_absoluto,parametric,19.754375,19.6,2.8106131448493583,2.849999999999998
Idade,parametric,17.405,19.845,7.105968383455323,12.69
Peso_kg,parametric,51.2625,55,14.907889410197095,17.549999999999997
ReservaVentilatoria,non-parametric,36.793125,43.68,19.86092133436916,15.127500000000005
SpO2final,parametric,90.625,91,6.312685640834652,12
VEF1percprevist,non-parametric,51.78,35.66,28.11678122877273,45.9125
VEabsolutofinal,parametric,44.18125,44.95,15.855943943308244,28.5
VO2mLkgminfinal,parametric,32.7625,32.7,5.221733428661405,6.599999999999994
